eventGroup	count	month	year
Lewd Conduct	55	10	2014
Assaults	320	10	2014
Person Down/Injury	114	10	2014
Animal Complaints	48	10	2014
Fraud Calls	273	10	2014
Prostitution	19	10	2014
Weapons Calls	44	10	2014
Robbery	101	10	2014
Persons - Lost, Found, Missing	65	10	2014
Arrest	126	10	2014
Bike	70	10	2014
Accident Investigation	25	10	2014
Prowler	22	10	2014
Miscellaneous Misdemeanors	106	10	2014
Harbor Calls	13	10	2014
Drive By (No Injury)	3	10	2014
Other Vice	12	10	2014
Vice Calls	1	10	2014
Reckless Burning	1	10	2014
Homicide	1	10	2014
Failure To Register (Sex Offender)	1	10	2014
Robbery	134	11	2014
Traffic Related Calls	3155	11	2014
Suspicious Circumstances	2610	11	2014
Assaults	313	11	2014
Disturbances	2242	11	2014
Liquor Violations	1103	11	2014
Shoplifting	614	11	2014
Other Vice	9	11	2014
Property Damage	331	11	2014
Auto Thefts	501	11	2014
Car Prowl	851	11	2014
Mental Health	255	11	2014
Persons - Lost, Found, Missing	86	11	2014
Drive By (No Injury)	11	11	2014
Person Down/Injury	132	11	2014
Threats, Harassment	204	11	2014
Burglary	600	11	2014
Hazards	355	11	2014
Other Property	532	11	2014
False Alarms	1017	11	2014
Nuisance, Mischief	569	11	2014
Narcotics Complaints	234	11	2014
Miscellaneous Misdemeanors	95	11	2014
Trespass	515	11	2014
Fraud Calls	244	11	2014
Bike	53	11	2014
Property - Missing, Found	206	11	2014
Arrest	103	11	2014
Animal Complaints	45	11	2014
Lewd Conduct	31	11	2014
Weapons Calls	41	11	2014
Prowler	21	11	2014
Harbor Calls	10	11	2014
Prostitution	15	11	2014
Accident Investigation	24	11	2014
Other Property	593	12	2014
Suspicious Circumstances	2314	12	2014
Traffic Related Calls	2714	12	2014
Disturbances	1959	12	2014
Car Prowl	768	12	2014
Assaults	288	12	2014
Shoplifting	532	12	2014
False Alarms	861	12	2014
Prostitution	9	12	2014
Robbery	107	12	2014
Liquor Violations	958	12	2014
Trespass	527	12	2014
Mental Health	206	12	2014
Property Damage	270	12	2014
Hazards	326	12	2014
Burglary	534	12	2014
Lewd Conduct	23	12	2014
Person Down/Injury	115	12	2014
Auto Thefts	361	12	2014
Prowler	24	12	2014
Nuisance, Mischief	498	12	2014
Fraud Calls	231	12	2014
Animal Complaints	29	12	2014
Persons - Lost, Found, Missing	85	12	2014
Property - Missing, Found	200	12	2014
Threats, Harassment	184	12	2014
Arrest	67	12	2014
Narcotics Complaints	184	12	2014
Bike	40	12	2014
Accident Investigation	40	12	2014
Miscellaneous Misdemeanors	32	12	2014
Homicide	5	12	2014
Harbor Calls	11	12	2014
Drive By (No Injury)	9	12	2014
Weapons Calls	28	12	2014
Reckless Burning	1	12	2014
Other Vice	2	12	2014
Bike	77	3	2015
Traffic Related Calls	3436	3	2015
Liquor Violations	1047	3	2015
False Alarms	888	3	2015
Assaults	314	3	2015
Fraud Calls	267	3	2015
Disturbances	2726	3	2015
Suspicious Circumstances	2866	3	2015
Shoplifting	553	3	2015
Narcotics Complaints	324	3	2015
Weapons Calls	47	3	2015
Other Property	589	3	2015
Trespass	652	3	2015
Property - Missing, Found	265	3	2015
Threats, Harassment	205	3	2015
Car Prowl	675	3	2015
Nuisance, Mischief	628	3	2015
Prowler	30	3	2015
Burglary	557	3	2015
Property Damage	347	3	2015
Persons - Lost, Found, Missing	72	3	2015
Hazards	313	3	2015
Person Down/Injury	126	3	2015
Animal Complaints	56	3	2015
Lewd Conduct	50	3	2015
Auto Thefts	446	3	2015
Miscellaneous Misdemeanors	97	3	2015
Arrest	100	3	2015
Prostitution	15	3	2015
Robbery	116	3	2015
Harbor Calls	8	3	2015
Mental Health	2	3	2015
Failure To Register (Sex Offender)	2	3	2015
Drive By (No Injury)	8	3	2015
Other Vice	3	3	2015
Homicide	2	3	2015
Vice Calls	1	3	2015
Reckless Burning	1	3	2015
False Alarms	930	4	2015
Trespass	665	4	2015
Suspicious Circumstances	2738	4	2015
Traffic Related Calls	3425	4	2015
Property Damage	360	4	2015
Liquor Violations	995	4	2015
Disturbances	2560	4	2015
Shoplifting	546	4	2015
Fraud Calls	250	4	2015
Burglary	559	4	2015
Narcotics Complaints	318	4	2015
Bike	97	4	2015
Robbery	99	4	2015
Threats, Harassment	213	4	2015
Nuisance, Mischief	663	4	2015
Assaults	325	4	2015
Failure To Register (Sex Offender)	2	4	2015
Property - Missing, Found	275	4	2015
Miscellaneous Misdemeanors	98	4	2015
Prowler	32	4	2015
Hazards	269	4	2015
Other Property	586	4	2015
Persons - Lost, Found, Missing	86	4	2015
Arrest	94	4	2015
Animal Complaints	46	4	2015
Car Prowl	710	4	2015
Auto Thefts	437	4	2015
Drive By (No Injury)	9	4	2015
Lewd Conduct	44	4	2015
Person Down/Injury	115	4	2015
Weapons Calls	47	4	2015
Prostitution	26	4	2015
Harbor Calls	13	4	2015
Mental Health	4	4	2015
Other Vice	6	4	2015
Vice Calls	1	4	2015
Reckless Burning	4	4	2015
Traffic Related Calls	3493	5	2015
Other Property	600	5	2015
Disturbances	3379	5	2015
Trespass	613	5	2015
Car Prowl	731	5	2015
Liquor Violations	1246	5	2015
Burglary	680	5	2015
Suspicious Circumstances	2925	5	2015
Bike	110	5	2015
Nuisance, Mischief	665	5	2015
Hazards	254	5	2015
False Alarms	942	5	2015
Assaults	435	5	2015
Robbery	107	5	2015
Homicide	2	5	2015
Narcotics Complaints	366	5	2015
Person Down/Injury	135	5	2015
Auto Thefts	416	5	2015
Property - Missing, Found	285	5	2015
Shoplifting	660	5	2015
Fraud Calls	258	5	2015
Threats, Harassment	214	5	2015
Prowler	31	5	2015
Animal Complaints	62	5	2015
Property Damage	358	5	2015
Weapons Calls	66	5	2015
Miscellaneous Misdemeanors	142	5	2015
Persons - Lost, Found, Missing	84	5	2015
Prostitution	37	5	2015
Lewd Conduct	71	5	2015
Arrest	112	5	2015
Harbor Calls	22	5	2015
Other Vice	5	5	2015
Drive By (No Injury)	4	5	2015
Mental Health	1	5	2015
Reckless Burning	2	5	2015
